게시판종류,제목,작성일,본문내용,링크,사진
공지사항,(홍보)한국신재생에너지협회 풍력 분야 대표기업 온라인 채용설명회,'2022-10-26,"한국신재생에너지
협회(신재생에너지 SC)에서는 이공계 취업준비생들을 위해 11월 2일(수) 13시에 아래와 같이
풍력 분야 대표 기업인 ""유니슨 온라인 채용설명회""를 개최할 예정입니다.
해당 직무에 관심있는 학생의 많은 참여 부탁드립니다.
- 일      시 : 2022. 11. 02.(수), 13:00~
- 장      소 : 온라인 Zoom
- 주요내용 : 국내 풍력 발전기업 유니슨 채용 공고 및 직무분석을 통한 진로 탐색 기회 제공
- 신청방법 :  홈페이지(
https://www.letuin.com/jobfair.php?action=com&no=11
)를 통한 신청
참가 비용은 무료이며, 온라인 채용설명회 참석자에게 제공되는 혜택은 아래와 같습니다.
(1) 유니슨 최신 기업분석 가이드북 제공
(2) ""직무역량'을 자소서에 표현하는 합격 작성방법 공개
(3) 유니슨 1차, 2차 면접에 대응하기 위한 5개 면접 유형별 합격전략 가이드북 제공",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1706&cmd=view,
공지사항,[모집] 제25회 누들브리지 경연대회 신청 안내,'2022-10-19,"※모집안내문 수정: 4페이지 <그림5 브리지 하중시험 장비> 사진 변경
요소설계 경진대회 개최
제25회 누들브리지 경연대회
★첨부파일 (세부내용 - 규정포함) 필독해주세요!!
1. 사
업 명
:
""제25회 누들브리지 경연대회""
2. 주최 :
공학교육혁신센터
3. 대     상 :
공과대학, IT대학 학부 재학생
4. 일     정
NO
일정
기간
장소
1
신청기간
~ 11. 1.(화)
13:00
2
재료지원
11.03.(목
) 14:00 ~ 11.09.(
수
) 17:00
60주년기념관 702호 공학교육혁신센터
3
작품접수
11.25.(
금
) 8:00 ~ 10:00
공대 1호관 001호 사이버랩
4
대회일자
11.25.(
금
) 10:00 ~
공대 1호관 001호 사이버랩
5. 참여방법
1) 첨부파일 : 서식 - 참여신청서, 개인정보수집동의서 작성 - 공학교육혁신센터 제출
2) 제출서류 : [서식1] 참여신청서, [서식2] 개인정보수집동의서
3) 제출방법 : 온라인제출 (E-mail : hjyun8106
@kangwon.ac.kr
)
※ 학과에서 단체로 신청할 경우 학과사무실에서 조별 명단 취합 후 센터로 송부
6. 재료지원
1)
스파게티면 4개, 순간접착제 3개, 사포 3개, 갭게이지(스틸) 조별 지원 예정
※ 진행상황에 따라 지원 수량은 변경될 수 있습니다
※ 작품제작을 위해 제공되는 갭게이지는 작품접수 시 반납
2) 규정에 맞게 제작하기 쉽도록 ""갭 게이지"" 제공 (첨부파일 - 세부내용 - 제작 규정 참조)
3) 갭 게이지는 작품 접수와 동시에 반납할 것 (분실 주의, 미반납 시 팀에서 보상)
7. 시상내역
(참여팀 수, 결과평가 등에 따라 달라질 수 있음)
NO
시상
팀수
부상
1
대상
1
상장 및 상금 50만원
2
금상
1
상장 및 상금 30만원
3
은상
3
상장 및 상금 10만원
4
디자인상
3
상장 및 상금 10만원
8. 주의사항
- 팀 이름은 꼭 있어야 하며 신청서 접수 후에는 변경이 불가합니다 (임의 변경 금지)
- 수상하게 될 경우 상장에 팀 이름이 기입될 예정입니다. 신중하게 정하시길 바랍니다.
- 모든 신청서와 동의서는 볼펜으로 작성해주시기 바랍니다 (연필 사용 시 지워질 수 있습니다)
- 센터에서 기본으로 제공되는 재료에서 추가로 더 필요할 경우 팀이 개별적으로 구매하되,
제공되는 재료와 반드시 같은 상품만을 구입하여 사용 및 제작하여야 합니다
(첨부파일 - 세부내용 - 규정 참조)
☎ 문의
033-250-7169
[첨부]  1. 세부내용 (대회 규정 포함) 1부.
2.
[서식1]
누들브리지 경연대회 참여신청서 1부.
3.
[서식2]
누들브리지 경연대회 개인정보수집동의서 1부.  끝.
※ 위 내용은 센터 사정에 의하여 변경될 수 있습니다",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1705&cmd=view,
공지사항,"[모집연장] 2022 문화예술·공과대학, IT대학 연합 PT 경진대회",'2022-10-07,"강원대학교 공학교육혁신센터에서는
2022 문화예술·공과대학, IT대학 연합 PT 경진대회
를 아래와 같이 개최합니다.
1.
행 사 명
: 문화예술·공과대학, IT대학 연합 PT 경진대회
2.
대    상
:
문화예술·공과대학, IT대학 재학생
3.
일시/장소
- 신청접수: 2022. 10. 14.(금) 14:00까지
- 예선심사: 2022. 10. 17.(월)~18.(화) / 비대면 진행(발표자료, 발표동영상 심사)
- 본선진출: 2022. 10. 19.(수) 발표
- 본선심사: 2022. 10. 24.(월) 14:00 / 60주년기념관 111호
4.
신청방법
: E-mail 접수(hjyun8106@kangwon.ac.kr)
※제출서류 : 신청서, 발표자료, 발표동영상(5분 이내
)
5. 문 의 처 : 공학교육혁신센터 033-250-7169",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1704&cmd=view,
공지사항,[모집] 한국생산성본부 3D 모델링 디자인 공모전을 위한 교내 특강 참가자 모집,'2022-09-28,"- 온라인 신청 접수 바로 가기->
강원대학교 공학교육혁신센터 (kangwon.ac.kr)",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1703&cmd=view,../../data/images/1543.jpg;../../data/images/1544.jpg
공지사항,2022 Peer-tutor(2차) 선정 교과목 안내,'2022-09-27,"2022 Peer-tutor(2차) 선정 교과목 및 멘토 O.T 자료 발송 안내
1. 선정 교과목
-  코로나19 확산 방지 및 감염 예방 수칙을 준수하며 2022학년도 2학기 멘토링 운영
2. 멘토 O.T 자료(필독 요망) 발송
: 대표 멘토 E-mail로 발송 완료
- 각 팀의 대표멘토는 멘토가 2명 이상인 경우 반드시 내용 공유 요망
- 이후 진행일정은 O.T 자료 참조 및 필요 시 센터에서 별도 안내 예정
3. 문의
: 033-250-7168 / happyberry
@kangwon.ac.kr
★ O.T 자료에 대해 문의사항이 있는 멘토는 센터로 연락주시기 바랍니다 ★
Peer-tutor 프로그램(2차)에 참여 신청해주신 모든 멘토 및 멘티 학생들에게 감사드립니다
향후 각 과목별 일정에 따라 성실히 수업에 임해주시기 바랍니다 ^^
※ 기 공지된 내용은 센터 사정에 의하여 변경될 수 있으며 변경 시 별도 안내 예정",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1702&cmd=view,../../data/images/base64_9_0.png
공지사항,[모집] 2022 공학페스티벌 E²공대생 심사위원단 모집,'2022-09-26,"공학교육혁신센터에서는 전국 73개 공과대학이 함께하는
2022 공학페스티벌에서
창의적 종합설계 경진대회 예선 및 본선 현장심사에 참여하는
E
2
공대생 심사위원단
을 모집합니다.
관심있는 학생들의 많은 참여바랍니다.
*본 프로그램은 1박2일 동안 일산 킨텍스에서 진행되며, 버스를 이용한 이동 및 숙식제공(2인1실) 됩니다.
**신청자가 많을 경우 신청서에 작성 된 지원동기 및 포부를 심사하여 선발예정입니다.
***공결 협조 공문 발송(단, 담당교수님께 사전 협의 완료 후 신청)
문의처: 033-250-7169",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1701&cmd=view,../../data/images/1534.jpg;../../data/images/1535.png
공지사항,[모집] 대진대 제4차 디지털 헬스케어 연계 미래 신산업 지역기업 수요특화형 교육 프로그램,'2022-09-19,"대진대학교 공학교육혁신센터에서는 아두이노 기반 맥박 PPG 센서를 활용한 데이터 획득과 신호처리 실습을 해보는 DNA School 심화 교육 프로그램을 다음과 같이 진행한다고 합니다. 관심있는 학생들의 많은 참여 바랍니다.
가. 교 육 명: 2022학년도 제4차 디지털 헬스케어 연계 미래 신산업 지역기업 수요특화형 교육 프로그램
나. 교육내용:
아두이노 기반 헬스 PPG 센서 데이터 획득과 신호처리 실습(DNA School 심화 과정)
다. 교육일정: 2022. 10. 11.(화) ~ 2022. 12. 2.(금)
라. 교육장소: 온라인 교육
마. 모집대상: 성균관대학교 주관대학 및 산하 공학교육혁신센터 공유(30명 이내, 대학별 5명 추천 가능)
(2022학년도 대진대학교 아두이노 기초 교육 프로그램 수료 학생 우선 선발)
바. 교육강사: 대진대학교 전자공학과 정목근 교수
사. 모집기간:
2022. 9. 19.(월) ~ 2022. 10. 6.(목) / 취합완료 후 10. 7.(금) 대진대학교로 발송예정
아. 신청방법:
이메일로 참가신청서 제출(hjyun8106@kangwon.ac.kr)
붙임 1. 교육 프로그램 안내 1부.
2. 교육 프로그램 포스터 1부.
3.
참가 신청서 양식 1부.  끝.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1700&cmd=view,../../data/images/1532.png
공지사항,"[모집] 2022 문화예술·공과대학, IT대학 연합 PT 경진대회",'2022-09-14,"강원대학교 공학교육혁신센터에서는
2022 문화예술·공과대학, IT대학 연합 PT 경진대회
를 아래와 같이 개최합니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1699&cmd=view,../../data/images/1529.jpg
공지사항,(홍보) 한국반도체산업협회 2022년 반도체산업 온라인 채용 박람회,'2022-09-14,"한국반도체산업협회에서는 아래 및 첨부와같이 ""2022 반도체산업 온라인 채용박람회""를 오는 10/5~10/6 양일간 진행합니다.
관심있는 학생들의 많은 참여바랍니다.
행사명
2022년 반도체산업 온라인 채용 박람회
일시
2022-10-05(수) ~ 2022-10-06(목) 10:00 ~ 17:00
장소
구직자(Zoom 접속을 통한 비대면 면접), 구인 기업(협회 내방 혹은 회사에서 Zoom접속)
주최
한국반도체산업협회, 차세대반도체산업 인적자원개발협의체 지원사업
접속 링크
http://hrd.ksia.or.kr/jobfair/jobfair_intro.php",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=9&BID=1698&cmd=view,
공지사항,[모집] 경희대 의료데이터 활용 AI 딥러닝 모델 구축 교육,'2022-09-13,"경희대학교 공학교육혁신센터에서는
DNA School
교육
(
기초
)
과정의 일환으로서
AI
분야의 기술과 콘텐츠를 헬스케어 분야와 접목
하여필요한 데이터와 모델을 직접만들어 보거나 체험해 볼 수 있는
「
의료데이터 활용
AI
딥러닝 모델 구축 교육프로그램
」
을
아래와 같이 진행합니다.
학생들의 많은 관심과 참여 부탁드립니다
.
1.
교 육 명
: DNA School
핵심과정
(
기초
)_
의료데이터 활용
AI
딥러닝 모델 구축 교육프로그램
2.
교육목적
:4
차혁명 시대에 핵심요소로 꼽히는
AI
분야의 기술과 콘텐츠를 헬스케어 분야와 접목하여 필요한 데이터와 모델을 직접
만들어 보거나 체험해 봄으로써
,
미래 사회에 필요한 핵심 역량 강화
3.
교육일시
: 10.7.(
금
)~10.8.(
토
) 15H
4.
교육장소
:
실시간 온라인
(Zoom
활용
)
5.
모집기간
:~9.22.(
목
)
까지 모집 완료 후
9.23.(
금
)
경희대학교로 발송예정
6.
모집방법
:
이메일
(
hjyun8106
@kangwon.ac.kr
)
로 붙임
2
제출
7 .
모집인원
:
총
30
명
(
대학별
3~4
명 추천
)
8.
준비물
:
수강용 노트북
or PC,
실습키트 발송 예정
*자세한 내용은 첨부의 운영계획(안) 확인을 부탁드립니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1697&cmd=view,
공지사항,(홍보) 제14회 소외된 이웃과 함께하는 창의설계 온라인 경진대회 개최안내,'2022-09-02,"한동대학교 공학교육혁신센터에서는 올해 과학기술의 혜택과 구매력으로부터 소외된 이웃들의 삶의 질 향상을 위한
아이디어 및 제품설계를 해보는 '제14회 소외된 이웃과 함께하는 창의설계 온라인 경진대회'를 아래와 같이 개최한다고 합니다.
이웃을 위한 선한 기술에 관심있는 학생들의 많은 참여 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1695&cmd=view,../../data/images/1522.jpg
공지사항,(홍보) 한국생산성본부 주관 3D 모델링/디자인 공모전 특강,'2022-08-29,"한국생산성본부(KPC)에서는 AI(인공지능) 기반 기술이 접목된 Autodesk사의 Fusion 360 소프트웨어를 통해 공모전에 쉽고 빠르게 참여하고 수상할 수 있도록 가이드하는 것을 목표로 하는 ""한국생산성본부 3D Modeling 디자인 공모전 특강""
을 아래와 같이 개최하고자 합니다.
l
제목 : AI 기반 3D 모델링 적용 사례 소개 및 공모전 대비 특강
l
일시 : 2022년9월30일 금요일 오후 3시~5시
l
장소 : 오토데스크 코리아 (서울 삼성동 아셈타워 17층)
l
기타 :  추첨을 통해 스타벅스 기프트카드 제공
l
상세내용은 아래 및 별첨을 참조하시기 바랍니다.
[
구글 폼]
https://forms.gle/nd83wrj895EMXLvS7",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1694&cmd=view,../../data/images/1518.png
공지사항,2022 Peer-tutor(2차) 프로그램 시행 안내,'2022-08-25,"<
Peer-tutor 프로그램>
1. 목적
:
해당 교과목 보충 교육
2. 대상 :
공과대학, IT대학 학과(전공)에서 개설 중인 전공 교과목
3. 지원
:
정규 수업 시간 이외의 시간에 멘토와 멘티로 이루어진 그룹(교과목별 1개 그룹지원이 원칙)
- 지원팀 수 : 공과대학, IT대학 전공 중
5개 그룹 선정
※ 지원팀 수를 초과하거나 교과목 중복 시 지원신청서 및 수업계획서 심사 후 선정
4. 모집 유형 :
일반 / Global /
다학제융합
1) 공통사항
- 구성 : 멘토 및 멘티로 구성
- 인원 : 해당 교과목 수강생(멘티) 8인 이상 / 총 인원 수 9명 이상
★
운영 : 각 분기당 12시간 / 2분기 / 총 24시간 (세가지 모두 충족)
2)
모집 유형별 추가사항 안내
-
Global
: 외국인 및 다문화가정 학생 1인 이상 참가 / 평가 시 가산점 부여
-
다학제융합
: 타 전공(또는 복수전공) 학생 1인 이상 참가 / 평가 시 가산점 부여
5. 지원자격 및 요건
1) 멘토
- 해당과목 담당교수 연구실 소속 대학원생 또는 해당과목 선수강한 2학년 이상 재학생
-
멘토는 해당 교과목으로 타부서 튜터링사업 복수 참여 금지(적발 시 멘토지원금 전액 환수)
-
공통사항 :
해당과목 성적 B+이상
2) 멘티 : 해당 교과목 수강생 (8명 이상) 포함한 학부 재학생
﻿
6. 신청기간 : 2022. 9. 13(화) ~ 9. 20(화)
1) 신청 방법: 신청서 작성 후 센터로 E-mail 제출
--------------------------------------------------------------------------------------------
☞ 신청기간 내 온라인 접수 제출
① 신청기간 내 신청서 작성 후 센터 담당자에게 E-mail 접수(happyberry
@kangwon.ac.kr
)
- 신청서 양식: 첨부파일-2022 Peer-tutor(2차) 프로그램 서식 참조
② 선정된 교과목(그룹)은 대표멘토 및 담당(지도)교수 서명 완료 후 제출
- 선정된 교과목(그룹)에 한하여 제출 일정 등 추후 공지
--------------------------------------------------------------------------------------------
2) 제출 서류 내역
① [서식1] 참여 신청서
② [붙임1] 운영 계획서
③ [붙임2] 개인정보 수집 동의서
④ 멘토 성적증명서(대표멘토를 포함한 멘토 전원 제출/대학원생의 경우 학부 성적 증명서 제출)
7. 진행기간
: 2022. 10
. 3
(월) ~ 12
. 21
(수
/종강) 중 과목별 계획 일정
8. 지원금 안내
1) 결과보고서 검토 및 심사 후
4단계로 나누어 차등
으로 지원금 지급
2) 지원팀 선정 후 성실한 수업 운영을 위하여
상시점검 실시
-
상시 점검 결과에 따라 프로그램 지원비 변경 및 취소될 수 있음
[첨부파일]
1. 2022 Peer-tutor(2차) 프로그램 세부내용(수정) 1부.
2. 2022 Peer-tutor(2차) 프로그램 서식 1부.  끝.
☎문의☎
공학교육혁신센터 (033-250-7168 / happyberry
@kangwon.ac.kr
)
※ 그 외 진행 사항 및 자세한 내용은 첨부파일(세부내용) 참조
※ 위 내용은 센터 사정에 의하여 변경될 수 있습니다",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1693&cmd=view,
공지사항,(홍보) 로봇SC 글로벌 인턴십(덴마크) 파견연구자(석·박사) 모집,'2022-08-24,"한국로봇산업협회에서 글로벌 인턴십(덴마크) 파견연구자(석박사)를 모집합니다.
[
한국로봇산업협회] 글로벌 인턴십 파견연구자 모집 안내(~9/4까지)]
협회에서는
로봇 및 AI 분야
「산업혁신인재 성장지원사업(해외연계)」을 수행하고 있습니다.
이에 따라 덴마크 소재 로보틱스 관련 기관/대학에서 근무할 파견연구자를 아래와 같이 모집하고 있습니다.
-
모집일정 : ~2022. 9/4(일), 24:00, *한국시간 기준
-
신청방법
① Googleform 신청
https://docs.google.com/forms/d/1PsIZOoxTxTgNMm6ysnDj1SZkoB6y3YdLp3FtljeWNB8/edit
② 첨부파일의 영문 CV 작성 후,
sypark@korearobot.or.kr
로 제출
-
문의처 : 로봇산업협회 기획사업본부 인재개발팀(070-4451-1361)",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1692&cmd=view,../../data/images/1513.png;../../data/images/1514.png
공지사항,(홍보) 언리얼엔진 기반 메타버스 개발자 양성 과정 교육생 모집,'2022-08-23,"가. 교육개요
1) (과 정 명) 언리얼엔진 기반 메타버스 개발자 양성과정
2) (교육대상) 일반인 및 대학생 등 국민내일배움카드 발급 가능자
※ 대학 졸업예정자(3~4학년 재학생 포함) 가능
3) (교육장소) 서암관 2층 영상제작실
4) (교육기간) 2022.10.04.(화) ~ 2023.03.13.(월), 110일(880시간)
5) (교육내용) 메타버스 관련 정규교과, 프로젝트 및 현장실습 등
※ 교과목 세부내용 홈페이지 참조
6) (교 육 비) 전액 무료(식대 및 교통비 지원)
나. 모집상세내역
1) (모집인원) 24명(선착순 모집)
2) (신청기간) 2022.08.16.(화) ~ 2022.09.16.(금)
※ 교육신청서 제출 및 내일배움카드 교육 전 발급 완료
3) (신청방법) 접수방법: www.knutraining.co.kr 접속하여 교육신청서 작성 제출
- 홈페이지 접속 → [교육신청]메뉴 클릭 → 작성 후 [제출] 클릭
4) (문 의 처) 033-250-8945/8276",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1691&cmd=view,../../data/images/1512.jpg
공지사항,[모집] 제2회 KNU 드론페스티벌 「드론 경진대회」 참가자 모집,'2022-08-19,,https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1690&cmd=view,../../data/images/1510.png;../../data/images/1511.png
공지사항,[모집] 3D융합산업협회 ANSYS 활용 해석시뮬레이션 교육 참가자 모집(무료),'2022-08-10,"3D융합산업협회에서는
5일간 태성에스엔이(해석 전문기업) 사내교육장(동탄 소재)에서 진행함에 따라 현장견학을 겸하여 실습교육을 받을 수 있는 ANSYS 활용 해석시뮬레이션 무료교육을 아래와 같이 개최한다고 합니다.
미취업자 또는 졸업예정자들을 대상으로 하는 교육입니다.
관심있는 학생들의 많은 참여 바랍니다.
1.
교육개요
①
교육명
:
시뮬레이션 엔지니어
(Basic)
②
교육목적
:
해석 시뮬레이션의 대표 툴인
ANSYS
를 활용하여 적층제조
(
특히 금속
3D
프린팅
)
를 위한 과도설계
,
위상최적화
,
경량화설계 등으로 최적 강성을 만족하는 설계
실습을 진행하고 관련 공정해석을 통해 보상모델을 구현하는 등 해석 전문기업
(
태성에
스엔이
)
에서 현직자들과 소통하며 실무경험을 획득
③
교육대상
(
아래 모두 충족 필요
)
- 10
시
~18
시 전일
,
신청과정별
5
일간 교육참여 가능자
-
미취업자 또는 졸업예정자로서 연령 무관
(
단
,
재학생은
2023
년
12
월까지 잔여학기 수료예정자
)
④
선발기준
:
참가신청서 기준
,
참가목적 및 활용계획이 구체적인 지원자 우선 선발
⑤
수료기준
-
교육의
80%
이상 이수자는 과기정통부 산하 정보통신산업진흥원장 명의 수료증 발급
⑥
교육기간
(
택
1)
- 1
차
: ’22. 8. 22.(
월
) ~ 8. 26.(
금
) / 35
시간
- 2
차
: ‘22. 8. 29.(
월
) ~ 9. 2(
금
) / 35
시간
⑦
교육형태
:
대면
/ SW
실습 중심
⑧
교육장소
-
태성?í스엔이
:
경기 화성시 동탄첨단산업
1
로
27,
금강펜터리움
IX
타워
A
동
714
호
2.
프로그램
구성
세부내용
교육시간
1
일차
ㆍ
금속
AM
이론
교육
ㆍ
SpaceClaim
활용
기본
3D
모델링
기능
익히기
ㆍ
Discovery Live
활용
구조해석
방법
실습
ㆍ
Lattice(
빔타입
,
TPMS
타입
)
설계
방법
실습
7h
2
일차
ㆍ
Discovery Live
활용
위상최적화
이론
및
실습
ㆍ
Discovery Live
활용
Virtual Validation
수행
ㆍ
STL
후처리
수행
실습
7h
3
일차
ㆍ
AM Studio
활용
최적
Orientation
설정
및
서포트
생성
ㆍ
Additive Print
활용
AM Process Simulation
수행
7h
4
일차
ㆍ
AM Process Simulation
해석결과
분석
및
문제점
파악
/
대안
마련
ㆍ
2
차
AM Process Simulation
수행
7h
5
일차
ㆍ
예제
모델을
이용한
전체
AM
프로세스
적용
실습
ㆍ
위상최적화를
통한
DfAM
및
제작
모델
설계
완성
ㆍ
DfAM
적용
고려
AM Build
완성
7h
3.
참가신청 및 문의
- (
신청기간
)
회차별 개강
2
일전 까지
- (
신청방법
)
온라인 접수
(3D-FAB
홈페이지
),
https://3d-fab.kr
- (
문의
) 3D
융합산업협회 담당
02-6388-6097, 6081 / gskim@gokea.org",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1689&cmd=view,
공지사항,제15회 포트폴리오경진대회 수상자 공고,'2022-08-01,"제15회 포트폴리오경진대회에 많은 관심 감사합니다.
아래와 같이
포트폴리오경진대회 수상자
가 선정되었음을 공고합니다.
선정된 분들께는 별도로 안내 메일 및 문자 발송 예정입니다.
공학교육혁신센터 프로그램에 대한 많은 관심 감사드리며, 다른 프로그램에도 많은 참여 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1686&cmd=view,../../data/images/base64_10_0.png
공지사항,2022 ACE+ 창의 융합 캠프 참가자 선정 공고,'2022-07-26,"2022 ACE+ 창의 융합 캠프에 많은 관심 감사합니다.
아래와 같이
강원대학교 재학생 32명
선정되었음을 공고합니다.
선정된 분들께는 별도로 안내 메일 및 문자 발송 예정입니다.
코로나19 방역 수칙 잘 지키시고, 관련 유증상이 있을경우 빠르게 연락바랍니다.
많은 관심 감사드리며, 다른 프로그램에도 많은 참여 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1683&cmd=view,../../data/images/1492.jpg
공지사항,2022 언박싱 챌린지+ 참가자 선정 공고,'2022-07-05,"2022 언박싱 챌린지+에 많은 관심 감사합니다.
아래와 같이
강원대학교 재학생 50명
선정되었음을 공고합니다.
선정된 분들께는 별도로 안내 메일 및 문자 발송 예정입니다.
기간 안에 온라인 교육, 결과보고서 및 작동동영상 제출 바랍니다.
많은 관심 감사드리며, 다른 프로그램에도 많은 참여 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=10&BID=1676&cmd=view,../../data/images/1469.jpg;../../data/images/1470.jpg
공지사항,K-4INT Maker Camp 메이커메이커 참가자 선정 공고,'2022-06-28,"2022 K-4INT Maker Camp 메이커메이커에 많은 관심 감사합니다.
아래와 같이
강원대학교 재학생 8명
(가천대, 건양대, 경희대, 대진대, 인천대 재학생 총 12명) 공고합니다.
선정된 분들께는 별도로 안내 메일 및 문자 발송 예정입니다.
많은 관심 감사드리며, 다른 프로그램에 많은 참여 바랍니다.
2022 메이커 메이커 선발 학생 명단
접수번호
이름
전공
학번
학년
접수 일시
1
최*원
전자공학전공
20201**56
3
2022-06-10
  14:20:06
2
김*진
메카트로닉스공학전공
20201**04
3
2022-06-10
  17:07:37
3
이*현
전자공학전공
20201**88
3
2022-06-10
  17:46:56
4
윤*인
메카트로닉스공학전공
20201**00
3
2022-06-14
  15:05:32
5
김*아
메카트로닉스공학전공
20201**73
3
2022-06-14
  15:06:02
6
김*관
메카트로닉스공학전공
20181**49
3
2022-06-14
  15:26:22
7
김*영
메카트로닉스공학전공
20181**65
3
2022-06-15
  16:09:47
8
김*호
메카트로닉스공학전공
20191**85
2
2022-06-16
  14:47:49",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=11&BID=1674&cmd=view,
공지사항,(내용수정) 제15회 학생 포트폴리오 경진대회,'2022-05-17,공학교육혁신센터에서는 심화프로그램 이수 학생들의 포트폴리오 작성 동기 부여 및 취업과 개인역량 강화를 위하여 개최되는 「제15회 학생 포트폴리오 경진대회」내용이 일부 변경되어 안내드립니다.,https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=11&BID=1664&cmd=view,../../data/images/1477.png;../../data/images/1478.png;../../data/images/1479.png
